ranking,asin,tipo_producto,total_reviews
64,B002I0H79C,Video_Games,255
65,B0089RPUHO,Toys_and_Games,253
66,B000FRU0NU,Video_Games,253
67,B002GO04MC,Sports_and_Outdoors,252
68,B000ZK7ZOE,Video_Games,250
69,B0050SYILE,Video_Games,250
70,B002BRZ9G0,Video_Games,249
71,B00503E9FY,Video_Games,248
72,B003JVCA9Q,Video_Games,248
73,B002I0J82G,Video_Games,247
74,B00008J7NZ,Video_Games,245
75,B0035KU9SK,Sports_and_Outdoors,244
76,B004HYK8Y8,Video_Games,244
77,B00CMQTVUA,Video_Games,244
78,B00269QLI8,Video_Games,244
79,B007XVTR5S,Video_Games,244
80,B002BJBIRW,Sports_and_Outdoors,243
81,B004RR0N8Q,Sports_and_Outdoors,243
82,B00437VTJ2,Sports_and_Outdoors,242
83,B004H9DO4Y,Sports_and_Outdoors,242
84,B001TORSII,Video_Games,241
85,B00DB9JYFY,Video_Games,238
86,B001SGZL2W,Video_Games,237
87,B0002IKANW,Sports_and_Outdoors,236
88,B000FIE4AE,Sports_and_Outdoors,236
89,B00000JRSB,Video_Games,236
90,B000066TS5,Video_Games,235
91,B001MK3GFS,Sports_and_Outdoors,234
92,B000NLA4PM,Sports_and_Outdoors,233
93,B002CZ38KA,Video_Games,233
94,B000FO4KO8,Video_Games,231
95,B000FRS9II,Video_Games,231
96,B001E7S5BO,Sports_and_Outdoors,231
97,B000XJNTNS,Video_Games,230
98,B004RMK5QG,Video_Games,227
99,B0050SYLRK,Video_Games,227
100,B001F0IA1K,Sports_and_Outdoors,226
101,B00005Q8M0,Video_Games,225
102,B000FRU1UM,Video_Games,225
103,B000ZKA0J6,Video_Games,224
104,B002TALNRS,Sports_and_Outdoors,224
105,B002KT3XQC,Sports_and_Outdoors,223
106,B000MKA60W,Video_Games,222
107,B002E6X44C,Sports_and_Outdoors,221
108,B0030V95P2,Sports_and_Outdoors,220
109,B001SH7YMG,Video_Games,220
110,B001WIYQNG,Sports_and_Outdoors,220
111,B001EI7578,Sports_and_Outdoors,219
112,B0014VX2M2,Sports_and_Outdoors,219
113,B000FI6XGC,Sports_and_Outdoors,218
114,B000ERVMI8,Video_Games,217
115,B000HKP88C,Video_Games,217
116,B000RYAKHC,Sports_and_Outdoors,216
117,B000FKBCX4,Video_Games,215
118,B0039S7NO6,Toys_and_Games,215
119,B000FQBF1M,Video_Games,214
120,B000H6QNGM,Sports_and_Outdoors,213
121,B003VUO6H4,Video_Games,210
122,B000FQ9QVI,Video_Games,209
123,B00004Y57G,Video_Games,209
124,B001W30D2O,Toys_and_Games,207
125,B002AB7TX8,Video_Games,206
126,B004DT6TEK,Sports_and_Outdoors,205
127,B0016814WS,Sports_and_Outdoors,204
128,B00006690F,Digital_Music,204
129,B0000296O5,Video_Games,203
130,B0012N94WO,Video_Games,203
131,B0048KGFHU,Sports_and_Outdoors,202
132,B0050SXFKE,Video_Games,202
133,B00004T9UF,Digital_Music,202
134,B002BSA298,Video_Games,202
135,B001HWB68K,Video_Games,201
136,B0068VM5T4,Sports_and_Outdoors,201
137,B000FQ9R4E,Video_Games,201
138,B000U3YWEM,Sports_and_Outdoors,200
139,B004HYIAPM,Video_Games,199
140,B00DS0MQUQ,Video_Games,198
141,B001BZPJRC,Sports_and_Outdoors,198
142,B003O6E800,Video_Games,196
143,B002NPBT50,Toys_and_Games,196
144,B002I098JE,Video_Games,194
145,B000VYHK80,Sports_and_Outdoors,194
146,B000LC655Q,Sports_and_Outdoors,194
147,B000LSZVKA,Toys_and_Games,194
148,B00BGAA29M,Video_Games,194
149,B0050SXLQC,Video_Games,194
150,B0053B5RGI,Video_Games,194
151,B00435IPFK,Sports_and_Outdoors,193
152,B001B7ZB4Q,Sports_and_Outdoors,193
153,B007FTE2VW,Video_Games,193
154,B000084318,Video_Games,193
155,B000H6GZI8,Sports_and_Outdoors,193
156,B000N5QNSK,Toys_and_Games,192
157,B000OTG7FE,Sports_and_Outdoors,192
158,B001AT3KPC,Sports_and_Outdoors,191
159,B000W3XEQM,Toys_and_Games,191
160,B003R0LSMO,Sports_and_Outdoors,191
161,B0050SYV70,Video_Games,191
162,B000P46NMA,Video_Games,190
163,B0009VXAM0,Video_Games,190
164,B00005YW4H,Digital_Music,190
165,B003O6EATE,Video_Games,189
166,B000LIFB7S,Sports_and_Outdoors,188
167,B002I0JGDM,Video_Games,187
168,B00269QLH4,Video_Games,187
169,B0002XL3BA,Video_Games,186
170,B009AGXH64,Video_Games,186
171,B0006ZQ9BS,Digital_Music,185
172,B001LF3IB6,Sports_and_Outdoors,185
173,B000F7RSFI,Sports_and_Outdoors,184
174,B0001VGFK2,Video_Games,184
175,B00DMC6KAC,Toys_and_Games,184
176,B00D4WTO1M,Video_Games,182
177,B001CJ67E6,Sports_and_Outdoors,182
178,B001ID4ZY0,Sports_and_Outdoors,182
179,B001TR7QZA,Sports_and_Outdoors,181
180,B00BGAA0SU,Video_Games,181
181,B002I092MM,Video_Games,181
182,B002I0K6DG,Video_Games,181
183,B0000AGWFX,Digital_Music,181
184,B00384755S,Sports_and_Outdoors,180
185,B0074FI28Q,Sports_and_Outdoors,180
186,B002I0F5M8,Video_Games,179
187,B004FSE52C,Video_Games,178
188,B000NJXWBM,Sports_and_Outdoors,177
189,B0002IL6M6,Sports_and_Outdoors,177
190,B0050SYK44,Video_Games,176
191,B004690CT0,Sports_and_Outdoors,176
192,B003O6JKLC,Video_Games,175
193,B002I0J4VQ,Video_Games,175
194,B001H53Q6M,Sports_and_Outdoors,175
195,B007A7UJ4S,Video_Games,174
196,B000FN7UWS,Sports_and_Outdoors,174
197,B000P46NMK,Video_Games,172
198,B000X1TC0U,Video_Games,172
199,B005J13VCO,Sports_and_Outdoors,172
200,B005EQE0YM,Video_Games,171
201,B000Q9C4AE,Sports_and_Outdoors,171
202,B000ETRENI,Toys_and_Games,170
203,B00BMFIXOW,Video_Games,170
204,B0053BCML6,Video_Games,170
205,B005UGIMNQ,Sports_and_Outdoors,169
206,B000JF2ZB8,Sports_and_Outdoors,169
207,B00005O54Q,Digital_Music,169
208,B00006C2HA,Video_Games,169
209,B0002AUWKG,Toys_and_Games,168
210,B000AO7ETQ,Sports_and_Outdoors,167
211,B000OYMYZQ,Video_Games,167
212,B004NRN5EO,Video_Games,167
213,B000FIE3WI,Sports_and_Outdoors,166
214,B00000163G,Digital_Music,166
215,B00005ML10,Video_Games,166
216,B00008BFZH,Toys_and_Games,166
217,B000VJRU44,Video_Games,166
218,B002NN7AKU,Video_Games,166
219,B00165P4X6,Sports_and_Outdoors,165
220,B000FIAU8O,Sports_and_Outdoors,165
221,B0050SXX88,Video_Games,165
222,B0053BCO00,Video_Games,165
223,B001WJ67S2,Sports_and_Outdoors,165
224,B000M17AVO,Video_Games,164
225,B002Y1IO7E,Sports_and_Outdoors,164
226,B002OKSGAK,Sports_and_Outdoors,163
227,B000JLIXIG,Video_Games,163
228,B001HIT1UO,Sports_and_Outdoors,163
229,B003O6EB70,Video_Games,163
230,B003VWJ2K8,Musical_Instruments,163
231,B00006IJJK,Video_Games,163
232,B0050SYY5E,Video_Games,163
233,B004SKCUME,Sports_and_Outdoors,162
234,B0000533G7,Sports_and_Outdoors,162
235,B007VTVRFA,Video_Games,161
236,B00DC7G2W8,Video_Games,161
237,B002BSA1C6,Video_Games,160
238,B002GNYCJ4,Sports_and_Outdoors,160
239,0975277324,Toys_and_Games,160
240,B000066JRN,Video_Games,159
241,B0047T4J20,Sports_and_Outdoors,159
242,B001E8VB6O,Video_Games,159
243,B0000C1CLL,Sports_and_Outdoors,159
244,B00065XJ52,Digital_Music,159
245,B000GU6Q34,Sports_and_Outdoors,158
246,B000IMYKQ0,Video_Games,158
247,B000023VR6,Digital_Music,158
248,B007WQKT1K,Sports_and_Outdoors,158
249,B007Y8YJ62,Sports_and_Outdoors,158
250,B002I0J5UQ,Video_Games,157
251,B002I0HBZW,Video_Games,156
252,B0026HYWRW,Sports_and_Outdoors,156
253,B000TG530M,Video_Games,156
254,B0013R67A6,Sports_and_Outdoors,156
255,B000GU6PZ8,Sports_and_Outdoors,155
256,B00008URUA,Video_Games,155
257,B00004YRQA,Video_Games,155
258,B0000025RI,Digital_Music,154
259,B000021YQV,Digital_Music,154
260,B000KRXAGE,Video_Games,154
261,B00BMFIXKQ,Video_Games,154
262,B003O6E6NE,Video_Games,154
263,B0000C53GH,Sports_and_Outdoors,154
264,B000284ZNI,Toys_and_Games,154
265,B000UU3SVI,Video_Games,153
266,B003TWX8HS,Sports_and_Outdoors,153
267,B003ZHMMEM,Video_Games,152
268,B00008H2LB,Digital_Music,152
269,B000B43OY4,Video_Games,152
270,B000002OPL,Digital_Music,152
271,B001BL04PS,Sports_and_Outdoors,152
272,B000HX04TW,Sports_and_Outdoors,152
273,B000096QNK,Toys_and_Games,151
274,B003ZTV6SI,Sports_and_Outdoors,151
275,B0019MM3X0,Sports_and_Outdoors,151
276,B007TYC8MI,Video_Games,151
277,B000A2R54M,Video_Games,150
278,B00000JIVS,Toys_and_Games,150
279,B00005QEFF,Video_Games,150
280,B00006I02Z,Video_Games,150
281,B000P46NKC,Video_Games,149
282,B004W3WC84,Sports_and_Outdoors,149
283,B003TNV46O,Sports_and_Outdoors,149
284,B003ISKM9K,Sports_and_Outdoors,148
285,B00004YVAJ,Sports_and_Outdoors,148
286,B000067FDW,Video_Games,148
287,B00269DXCK,Video_Games,148
288,B00BMFIXT2,Video_Games,148
289,B005C2D2MO,Video_Games,148
290,B000GUEXBG,Toys_and_Games,148
291,B003JQT4Y0,Toys_and_Games,147
292,B002I0K3CK,Video_Games,147
293,B003AIM52A,Toys_and_Games,147
294,B00162OKDY,Sports_and_Outdoors,147
295,B003L8DXOI,Video_Games,146
296,B004JH6GM6,Sports_and_Outdoors,146
297,B001AWIP68,Video_Games,146
298,B00000DMB3,Video_Games,146
299,B00000K3BR,Toys_and_Games,146
300,8499000606,Toys_and_Games,145
301,B000002NJS,Digital_Music,145
302,B003C1I06U,Video_Games,145
303,B002I0KOSI,Video_Games,144
304,B001BR1LYK,Sports_and_Outdoors,144
305,B0009I6S0O,Video_Games,144
306,B003ITG62Q,Sports_and_Outdoors,144
307,B0081O93N2,Sports_and_Outdoors,144
308,B0002E1G5C,Musical_Instruments,143
309,B0000DD7LC,Digital_Music,142
310,B007W8S2MG,Video_Games,142
311,B003O6CBIG,Video_Games,142
312,B001CPGVB4,Sports_and_Outdoors,142
313,B001DCB61Q,Sports_and_Outdoors,142
314,B006JKASCK,Video_Games,142
315,B004SH9OUS,Sports_and_Outdoors,141
316,B002BSC54I,Video_Games,141
317,B0033H7VI6,Sports_and_Outdoors,141
318,B000HZFCT2,Video_Games,141
319,B0012N3T3Y,Video_Games,141
320,B0089M4HLY,Sports_and_Outdoors,141
321,B0000TAZS8,Digital_Music,141
322,B001BR4RO6,Sports_and_Outdoors,141
323,B000067DPM,Video_Games,141
324,B007WHCFC0,Sports_and_Outdoors,140
325,B0014VTRF8,Sports_and_Outdoors,140
326,B001LF3FQ4,Sports_and_Outdoors,140
327,B00DC7G0GG,Video_Games,140
328,B006PTMYHM,Sports_and_Outdoors,139
329,B004PE66ZU,Sports_and_Outdoors,139
330,B0050SX7BQ,Video_Games,139
331,B000F5IH2I,Video_Games,139
332,B000X1PE16,Video_Games,139
333,B005XVCR48,Toys_and_Games,138
334,B002BSC4ZS,Video_Games,138
335,B000FRVAD4,Video_Games,138
336,B000NO9GT4,Toys_and_Games,138
337,B0007TFLLC,Video_Games,138
338,B001CWXAP2,Video_Games,138
339,B00269QLJ2,Video_Games,138
340,B001AQTLJE,Sports_and_Outdoors,137
341,B001KMRN0M,Video_Games,137
342,B003O6E1JS,Video_Games,137
343,B009NZVZ3E,Sports_and_Outdoors,137
344,B002KW3HI8,Sports_and_Outdoors,137
345,B000G9BI6A,Sports_and_Outdoors,137
346,B000OR115W,Sports_and_Outdoors,136
347,B00064MUIA,Video_Games,136
348,B0088MVPFQ,Video_Games,136
349,B001WJ6908,Sports_and_Outdoors,135
350,B00000016W,Digital_Music,135
351,B002TLTBN0,Video_Games,135
352,B00354NAYG,Video_Games,135
353,B000FQBPCQ,Video_Games,135
354,B000F3AADE,Video_Games,134
355,B000H8ZO1U,Sports_and_Outdoors,134
356,B000HOT2SK,Sports_and_Outdoors,134
357,B001B1W3GG,Video_Games,134
358,B004PAGJOC,Video_Games,134
359,B005281N1K,Sports_and_Outdoors,134
360,B000ZK9QD2,Video_Games,134
361,B0010AYJXI,Video_Games,134
362,B00AKIPBNS,Video_Games,134
363,B003ZSN600,Video_Games,134
364,B0000C7GHG,Video_Games,134
365,B00GANWVJE,Video_Games,133
366,B001NX6GBK,Video_Games,133
367,B007U7M0WM,Toys_and_Games,133
368,B000002KH3,Digital_Music,133
369,B00000K2R4,Video_Games,132
370,B001IVXI7C,Video_Games,132
371,B00012M5MS,Sports_and_Outdoors,132
372,B000EHYZKK,Sports_and_Outdoors,132
373,B000FA3F0W,Sports_and_Outdoors,132
374,B000N2G3RY,Digital_Music,132
375,B004Z7H14M,Toys_and_Games,132
376,B000Q06LI4,Sports_and_Outdoors,132
377,B002BSA388,Video_Games,132
378,B003WG95H8,Sports_and_Outdoors,132
379,B003TX2BD4,Sports_and_Outdoors,131
380,B0028IBTL6,Video_Games,131
381,B002BRZ852,Video_Games,131
382,B002I0J9M0,Video_Games,131
383,B002MFK7H2,Sports_and_Outdoors,131
384,B003EIK136,Toys_and_Games,131
385,B002I0J6DC,Video_Games,130
386,B00551HARU,Sports_and_Outdoors,130
387,B00CP4J7OY,Toys_and_Games,130
388,B001BKX0V4,Toys_and_Games,130
389,B005DVA57Y,Sports_and_Outdoors,129
390,B00005Q8LR,Video_Games,129
391,B0002A6CQ4,Video_Games,129
392,B002I0J51U,Video_Games,129
393,B002ZJNWWC,Video_Games,129
394,B0034C6GDG,Sports_and_Outdoors,129
395,B003F6IQEI,Sports_and_Outdoors,129
396,B000DZD3FQ,Sports_and_Outdoors,129
397,B00FA2RLX2,Sports_and_Outdoors,129
398,B00140P9BA,Video_Games,129
399,B002I0JAVK,Video_Games,128
400,B003L8HQ7S,Video_Games,128
401,B001BR4R6E,Sports_and_Outdoors,128
402,B0009A4EVM,Video_Games,128
403,B000BNS62A,Sports_and_Outdoors,128
404,B000E59A8E,Sports_and_Outdoors,128
405,B000FI6YOS,Sports_and_Outdoors,127
406,B0022TNO7I,Video_Games,127
407,B002BDOHNA,Sports_and_Outdoors,127
408,B002BSA3EM,Video_Games,127
409,B0038TT8QM,Video_Games,127
410,B003F6EMQO,Sports_and_Outdoors,127
411,B0050SW8OS,Video_Games,127
412,B0050SY4DG,Video_Games,127
413,B005JFNE8G,Toys_and_Games,127
414,B000UUR6OI,Sports_and_Outdoors,127
415,B0075XNGGK,Toys_and_Games,127
416,B0053BCP40,Video_Games,126
417,B000LFJNF2,Video_Games,126
418,B0022TNO7S,Video_Games,126
419,B0000503MO,Video_Games,126
420,B00162JKH0,Sports_and_Outdoors,126
421,B0016BVYA2,Video_Games,126
422,B0006B0O9U,Video_Games,126
423,B00008J4P5,Digital_Music,125
424,B0000A1VER,Video_Games,125
425,B001AZNATC,Sports_and_Outdoors,125
426,B001C1UGVO,Sports_and_Outdoors,125
427,B001GUP8JG,Sports_and_Outdoors,125
428,B001IEYXAA,Toys_and_Games,125
429,B0029M2YWE,Sports_and_Outdoors,125
430,B00551HAU2,Sports_and_Outdoors,125
431,B000FK3WDC,Toys_and_Games,125
432,B003O6JIVE,Video_Games,125
433,B000UUV1EY,Sports_and_Outdoors,125
434,B000WMEEB2,Video_Games,125
435,B00000HZG9,Digital_Music,125
436,B00004SQM9,Sports_and_Outdoors,125
437,B0000025F7,Digital_Music,124
438,B00006408Q,Toys_and_Games,124
439,B000641DPQ,Toys_and_Games,124
440,B0006O8Q7Y,Toys_and_Games,124
441,B002I096AA,Video_Games,124
442,B002I0J4NE,Video_Games,124
443,B0085PPSIQ,Sports_and_Outdoors,124
444,B0050SVNP8,Video_Games,124
445,B0050SWVIQ,Video_Games,124
446,B000PL709I,Sports_and_Outdoors,124
447,B000TI836G,Video_Games,123
448,B0016C3260,Video_Games,123
449,B000K9OP2A,Video_Games,123
450,B00000IZOU,Toys_and_Games,123
451,B00004YRQ9,Video_Games,123
452,B002OL3NZW,Sports_and_Outdoors,123
453,B001YK4M18,Sports_and_Outdoors,123
454,B003J44Y74,Sports_and_Outdoors,123
455,B00486ZVC4,Toys_and_Games,123
456,B00CMQTUSS,Video_Games,123
457,B00BGO0Q9O,Sports_and_Outdoors,122
458,B00BI83EVU,Video_Games,122
459,B002ZVKMVY,Sports_and_Outdoors,122
460,B000Q04NKW,Sports_and_Outdoors,122
461,B000WY6ZXA,Sports_and_Outdoors,122
462,B0015KVAEE,Toys_and_Games,122
463,B000B69E9G,Video_Games,122
464,B0000657SP,Video_Games,122
465,B00006FWTX,Video_Games,122
466,B004Z7H07K,Toys_and_Games,122
467,B001W2WKS0,Toys_and_Games,122
468,B001MYEU0E,Sports_and_Outdoors,121
469,B0034K4JFU,Sports_and_Outdoors,121
470,B000QY9C90,Video_Games,121
471,B000IXG44U,Sports_and_Outdoors,121
472,B004ZAIXSC,Sports_and_Outdoors,121
473,B0050SX9VO,Video_Games,120
474,B00112CHCK,Toys_and_Games,120
475,B0001UEHP8,Video_Games,120
476,B00EFFW0HC,Video_Games,120
477,B007VFHGZ4,Video_Games,120
478,B002Z4JGL8,Sports_and_Outdoors,120
479,B001TOQ8X4,Video_Games,120
480,B001WJ55QC,Sports_and_Outdoors,120
481,B004560BPY,Toys_and_Games,120
482,B004HICPHW,Sports_and_Outdoors,120
483,B003R7H5TC,Video_Games,119
484,B004A8ZRBA,Toys_and_Games,119
485,B000R0URCE,Video_Games,119
486,B0013ASG3E,Sports_and_Outdoors,119
487,B007XYBUBE,Video_Games,119
488,B0089DMISM,Sports_and_Outdoors,119
489,B00CMQTU74,Video_Games,119
490,B001IK1BWC,Video_Games,119
491,B000IMWK2G,Video_Games,119
492,B000P3WQ86,Sports_and_Outdoors,119
493,B000GKD09C,Toys_and_Games,118
494,B000NVBE1A,Toys_and_Games,118
495,B000P3WPHI,Sports_and_Outdoors,118
496,B000P3WPKK,Sports_and_Outdoors,118
497,B000UC5ML0,Video_Games,118
498,B001COU9I6,Video_Games,118
499,B001DDPFYY,Sports_and_Outdoors,118
500,B00B1N0R6C,Sports_and_Outdoors,118
501,B00000FCBH,Digital_Music,118
502,B00000J7JO,Digital_Music,118
503,1933054395,Toys_and_Games,117
504,B006JKARN0,Video_Games,117
505,B003VPEBH4,Sports_and_Outdoors,117
506,B004NRN5DU,Video_Games,117
507,B00BGAA3S2,Video_Games,117
508,B00CXCCB64,Video_Games,117
509,B0015AM26E,Toys_and_Games,117
510,B001IK1BJ0,Video_Games,117
511,B001BCNTHC,Sports_and_Outdoors,116
512,B001BVI982,Sports_and_Outdoors,116
513,B002DHC6FA,Toys_and_Games,116
514,B00009WAUD,Video_Games,116
515,B00018D44U,Digital_Music,116
516,B0002F7K7Y,Musical_Instruments,116
517,B0044SA70M,Video_Games,116
518,B003O6E3C8,Video_Games,115
519,B004EVWYYG,Video_Games,115
520,B004KRA4YG,Sports_and_Outdoors,115
521,B002I0H2AG,Video_Games,115
522,B001AWBYNE,Video_Games,115
523,B001NIP3EG,Video_Games,115
524,B0050GW7KU,Sports_and_Outdoors,115
525,0976990709,Toys_and_Games,115
526,B000001A5X,Digital_Music,115
527,B00005V6BB,Video_Games,115
528,B0007IS6ZG,Sports_and_Outdoors,115
529,B000B6MLSC,Video_Games,115
530,B000ZK6950,Video_Games,115
531,B000TLU67W,Video_Games,114
532,B005YPK8G2,Sports_and_Outdoors,114
533,B002BS47YE,Video_Games,114
534,B000EUHKUE,Toys_and_Games,114
535,B000H87PUI,Sports_and_Outdoors,114
536,B000JIJ6Z8,Sports_and_Outdoors,114
537,B003VANOFY,Video_Games,114
538,B003VWKPHC,Musical_Instruments,114
539,B001VJ4DHK,Video_Games,114
540,B008VS8M58,Sports_and_Outdoors,114
541,B000B6MLUA,Video_Games,114
542,B00004UARR,Digital_Music,114
543,B001MYGLJC,Sports_and_Outdoors,113
544,B002DX1DWG,Sports_and_Outdoors,113
545,B000VYL3EM,Sports_and_Outdoors,113
546,B004XV6ST4,Video_Games,113
547,B003ZW0LXQ,Sports_and_Outdoors,113
548,B000EH0NLK,Sports_and_Outdoors,113
549,B000HJBKMQ,Sports_and_Outdoors,113
550,B007SRM5U6,Video_Games,113
551,B008CP6MA2,Video_Games,112
552,B003O6E67A,Video_Games,112
553,B00309XHD0,Video_Games,112
554,B00004XOWM,Digital_Music,112
555,B00007G39I,Toys_and_Games,112
556,B0028IBTLG,Video_Games,112
557,B000PW98WO,Sports_and_Outdoors,112
558,B000SQ5LQ4,Video_Games,112
559,B000TG72TM,Video_Games,112
560,B000FX81V2,Sports_and_Outdoors,112
561,B000P431BG,Sports_and_Outdoors,112
562,B0007Y4DLG,Toys_and_Games,112
563,B00CWVP8PC,Sports_and_Outdoors,112
564,B001COQW14,Video_Games,111
565,B002B555QQ,Toys_and_Games,111
566,B002LLPILC,Sports_and_Outdoors,111
567,B002UNMERW,Sports_and_Outdoors,111
568,B003D7F4YY,Toys_and_Games,111
569,B0087OZ5FG,Video_Games,111
570,B004K4AUZW,Digital_Music,111
571,B0000039Q3,Digital_Music,111
572,B00005NCCR,Video_Games,111
573,B000X9FV5M,Video_Games,111
574,B0012AXR4S,Sports_and_Outdoors,110
575,B0030C4W2M,Sports_and_Outdoors,110
576,B001AMZXQI,Sports_and_Outdoors,110
577,B001EJMS6K,Sports_and_Outdoors,110
578,B00000269M,Digital_Music,110
579,B0000C50S8,Sports_and_Outdoors,110
580,B00074H6RO,Sports_and_Outdoors,110
581,B000MK694E,Video_Games,110
582,B002BSA1MQ,Video_Games,109
583,B002ZVFF20,Sports_and_Outdoors,109
584,B000UU5T7E,Video_Games,109
585,B001543YEY,Toys_and_Games,109
586,B0047TG2R0,Video_Games,109
587,B004943NTI,Sports_and_Outdoors,109
588,B008JNPBYK,Toys_and_Games,109
589,B004QRKWLA,Video_Games,109
590,B0051W6CQ8,Sports_and_Outdoors,109
591,B005C2D1YI,Video_Games,108
592,B0077NCEWA,Toys_and_Games,108
593,B0036N474S,Sports_and_Outdoors,108
594,B00DPK11ZA,Toys_and_Games,108
595,B000BNCA4K,Toys_and_Games,108
596,B000P1RO7Q,Sports_and_Outdoors,108
597,B000PW64JY,Sports_and_Outdoors,108
598,B00029EWYY,Sports_and_Outdoors,108
599,B000001Y15,Digital_Music,108
600,B000002IT2,Digital_Music,108
601,B000002LGQ,Digital_Music,108
602,B000C17L2W,Sports_and_Outdoors,107
603,B000GKATU0,Toys_and_Games,107
604,B002I090AG,Video_Games,107
605,B002I0GX88,Video_Games,107
606,B002I0H2G0,Video_Games,107
607,B002I0J5YW,Video_Games,107
608,B002V3RCE6,Toys_and_Games,107
609,B006QQX3C4,Sports_and_Outdoors,107
610,B003O6JJKY,Video_Games,107
611,B0007IS74G,Sports_and_Outdoors,107
612,B001C3Q9BI,Sports_and_Outdoors,107
613,B001WJ59BI,Sports_and_Outdoors,107
614,B000PS2XDO,Video_Games,107
615,B00166N6SA,Video_Games,107
616,7245456313,Sports_and_Outdoors,106
617,B00000F1GM,Video_Games,106
618,B002TUSDV2,Sports_and_Outdoors,106
619,B00319DX4M,Video_Games,106
620,B00C7103DO,Video_Games,106
621,B001ARYU58,Sports_and_Outdoors,106
622,B001REZLY8,Video_Games,106
623,B003Q53VZC,Video_Games,106
624,B0000C6E4D,Digital_Music,106
625,B0002A2WAO,Digital_Music,106
626,B000284X6W,Toys_and_Games,105
627,B0009VCA0I,Sports_and_Outdoors,105
628,B000AM2K56,Toys_and_Games,105
629,B002ELCUUG,Video_Games,105
630,B0035KW3WU,Sports_and_Outdoors,105
631,B0076ZQSFI,Video_Games,105
632,B0089JOTJ2,Sports_and_Outdoors,105
633,B004RMK4P8,Video_Games,105
634,B00000253N,Digital_Music,105
635,B00000ISC5,Toys_and_Games,105
636,B00142FFCG,Sports_and_Outdoors,105
637,B00419J4X0,Sports_and_Outdoors,105
638,B002BSC55M,Video_Games,104
639,B002I0HKRQ,Video_Games,104
640,B0037UT3E4,Toys_and_Games,104
641,B0069EB9CY,Video_Games,104
642,B006ZTHFPS,Video_Games,104
643,B0086V5UF0,Video_Games,104
644,B008HPAXZ2,Video_Games,104
645,B000UPOG28,Sports_and_Outdoors,104
646,B00152R8Q6,Sports_and_Outdoors,104
647,B005281J4Q,Sports_and_Outdoors,103
648,B0053BCMAC,Video_Games,103
649,B00598KU7Q,Sports_and_Outdoors,103
650,B000EU02S6,Sports_and_Outdoors,103
651,B000EUKRY0,Toys_and_Games,103
652,B000KBEH1W,Sports_and_Outdoors,103
653,B002J9GDXI,Video_Games,103
654,B0037F1B9E,Sports_and_Outdoors,103
655,B006PP404Q,Video_Games,103
656,B001B8ONZI,Sports_and_Outdoors,103
657,B001BQZOAS,Sports_and_Outdoors,103
